Actual Charges,Predicted Charges
10976.246,12431.103
25656.574,10976.473
9630.397,10864.409
15170.069,16877.49
1646.4297,3419.628
1744.4648,2984.7139
3176.8154,4416.5127
9283.562,10545.615
30184.938,38651.734
8765.249,10200.248
15612.193,17383.586
34672.15,29323.516
3279.8682,5341.3784
10085.846,11315.199
19023.26,15351.146
9282.48,10926.111
22331.566,28609.094
19144.576,10291.238
3161.454,4088.5322
11931.125,13590.826
47928.03,44506.855
9855.132,11010.354
12222.898,13491.139
1712.2275,3711.2227
6666.243,8418.566
4438.2627,6377.249
23244.791,24067.334
11187.656,12640.108
36397.574,34071.703
8023.1353,9404.556
8520.026,9584.215
3484.331,4743.9873
30942.191,39109.645
46889.26,43869.477
33471.973,12745.484
2480.9795,4043.7334
4428.8877,6254.597
2457.502,3426.206
21771.342,25215.82
15006.579,11480.677
12129.614,13561.934
13470.805,15024.031
2045.6855,3550.416
3208.787,4225.0947
12925.886,14570.203
7726.854,8845.693
5400.9805,6738.7734
4564.1914,6434.245
45710.207,41105.637
4766.0225,5586.4785
6948.7007,8384.85
27533.91,35192.027
9447.25,10991.818
10231.5,11594.025
5478.036,6764.759
34439.855,30639.984
7640.309,8989.27
1253.9365,2591.1309
1146.7959,3037.621
18310.742,24841.04
34828.652,32609.016
21774.322,26407.14
10807.486,12320.142
9264.797,9989.732
8280.623,9465.885
10269.46,11919.568
10381.479,11977.984
6746.742,8637.064
29523.166,35590.625
37607.527,34543.973
9778.348,11389.521
13047.332,14849.872
12829.455,9018.029
21082.16,27027.758
20878.785,10083.947
10928.849,12297.202
9288.026,10998.665
12592.534,14597.632
5209.579,7118.7056
5327.4004,6843.5864
4949.759,6519.784
4466.622,6302.836
44585.457,36231.71
4747.0527,6120.9766
48549.18,52568.54
12815.445,14403.601
4562.843,5894.7085
7512.267,8886.584
39611.758,44648.52
16776.305,14271.439
13607.369,15470.866
39727.613,33160.875
41919.098,37484.375
9249.495,10511.64
1263.249,2712.9648
3987.9258,5308.5015
5375.038,6541.0967
1769.5312,3412.4902
1705.624,3624.8496
1163.4629,3255.6475
46599.11,45461.59
9863.472,11112.523
13457.961,14856.01
3392.3652,4840.302
12032.326,12944.157
9361.327,10863.093
12643.378,14191.946
17179.521,15000.769
7265.7026,8870.314
9541.695,11292.603
43896.38,47100.19
11938.256,13684.11
10325.206,11687.151
5125.216,6451.5986
11552.904,12967.11
2727.3955,4550.6133
8410.047,9998.956
18765.875,20626.04
32734.184,11586.836
13415.038,14649.972
29186.482,13526.294
10594.226,12050.0205
24513.092,14328.623
4504.663,6474.06
3875.7344,5505.442
9991.038,11010.998
3260.1992,4155.1436
